movieId,budget,genres,imdbId,poster_path,release_date,title,tmdbId
1,30000000.0,Adventure|Animation|Children|Comedy|Fantasy,114709,http://image.tmdb.org/t/p/w185//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-10-30,Toy Story (1995),862.0
2,65000000.0,Adventure|Children|Fantasy,113497,http://image.tmdb.org/t/p/w185//vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,Jumanji (1995),8844.0
3,0.0,Comedy|Romance,113228,http://image.tmdb.org/t/p/w185//1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,Grumpier Old Men (1995),15602.0
4,16000000.0,Comedy|Drama|Romance,114885,http://image.tmdb.org/t/p/w185//4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,1995-12-22,Waiting to Exhale (1995),31357.0
5,0.0,Comedy,113041,http://image.tmdb.org/t/p/w185//lf9RTErt8BSLQy98aSFblElvsCQ.jpg,1995-12-08,Father of the Bride Part II (1995),11862.0
6,60000000.0,Action|Crime|Thriller,113277,http://image.tmdb.org/t/p/w185//lbf2ueoiEfKIJr2qlT01zIEckbC.jpg,1995-12-15,Heat (1995),949.0
7,58000000.0,Comedy|Romance,114319,http://image.tmdb.org/t/p/w185//z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,1995-12-15,Sabrina (1995),11860.0
8,0.0,Adventure|Children,112302,http://image.tmdb.org/t/p/w185//6yoxUnUnWVmWkrRBPCAFARctZDF.jpg,1995-12-22,Tom and Huck (1995),45325.0
9,35000000.0,Action,114576,http://image.tmdb.org/t/p/w185//gV1VTRjT0hFjUxvs6vmfjR1ueoP.jpg,1995-10-27,Sudden Death (1995),9091.0
10,58000000.0,Action|Adventure|Thriller,113189,http://image.tmdb.org/t/p/w185//z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-16,GoldenEye (1995),710.0
11,62000000.0,Comedy|Drama|Romance,112346,http://image.tmdb.org/t/p/w185//yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995-11-17,"American President, The (1995)",9087.0
12,0.0,Comedy|Horror,112896,http://image.tmdb.org/t/p/w185//4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995-12-22,Dracula: Dead and Loving It (1995),12110.0
13,0.0,Adventure|Animation|Children,112453,http://image.tmdb.org/t/p/w185//dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,1995-12-22,Balto (1995),21032.0
14,44000000.0,Drama,113987,http://image.tmdb.org/t/p/w185//yzMSdrThWAyDehVGjiAkKS2IGSa.jpg,1995-12-22,Nixon (1995),10858.0
15,98000000.0,Action|Adventure|Romance,112760,http://image.tmdb.org/t/p/w185//hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995-12-22,Cutthroat Island (1995),1408.0
16,52000000.0,Crime|Drama,112641,http://image.tmdb.org/t/p/w185//4TS5O1IP42bY2BvgMxL156EENy.jpg,1995-11-22,Casino (1995),524.0
17,16000000.0,Drama|Romance,114388,http://image.tmdb.org/t/p/w185//1ryNXjmwdCTqLXxXCG9BGvZyMOH.jpg,1995-12-13,Sense and Sensibility (1995),4584.0
18,4000000.0,Comedy,113101,http://image.tmdb.org/t/p/w185//xhU6hPDnk4s8iWWKoq4oEmNI600.jpg,1995-12-09,Four Rooms (1995),5.0
19,30000000.0,Comedy,112281,http://image.tmdb.org/t/p/w185//wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995-11-10,Ace Ventura: When Nature Calls (1995),9273.0
20,68000000.0,Action|Comedy|Crime|Drama|Thriller,113845,http://image.tmdb.org/t/p/w185//jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,1995-11-21,Money Train (1995),11517.0
21,30250000.0,Comedy|Crime|Thriller,113161,http://image.tmdb.org/t/p/w185//5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg,1995-10-20,Get Shorty (1995),8012.0
22,0.0,Crime|Drama|Horror|Mystery|Thriller,112722,http://image.tmdb.org/t/p/w185//fdYwBoa25Oss1bCRdmng0VhABLQ.jpg,1995-10-27,Copycat (1995),1710.0
23,50000000.0,Action|Crime|Thriller,112401,http://image.tmdb.org/t/p/w185//5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg,1995-10-06,Assassins (1995),9691.0
24,0.0,Drama|Sci-Fi,114168,http://image.tmdb.org/t/p/w185//kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,1995-10-27,Powder (1995),12665.0
25,3600000.0,Drama|Romance,113627,http://image.tmdb.org/t/p/w185//rl5ROyXACDkiSbO6PnKK6Onnw26.jpg,1995-10-27,Leaving Las Vegas (1995),451.0
26,0.0,Drama,114057,http://image.tmdb.org/t/p/w185//6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg,1995-12-15,Othello (1995),16420.0
27,12000000.0,Children|Drama,114011,http://image.tmdb.org/t/p/w185//yQ8xP1WOfatqgUp4e3X8n73itJc.jpg,1995-10-20,Now and Then (1995),9263.0
28,0.0,Drama|Romance,114117,http://image.tmdb.org/t/p/w185//tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg,1995-05-01,Persuasion (1995),17015.0
29,18000000.0,Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,http://image.tmdb.org/t/p/w185//zIIW1kl1eq6bFJerAU5PqzN3dDp.jpg,1995-08-17,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",902.0
30,2300000.0,Crime|Drama,115012,http://image.tmdb.org/t/p/w185//x6SZumKmrOEFWfTjzv8ok4zoiei.jpg,1995-09-14,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),37557.0
31,23000000.0,Drama,112792,http://image.tmdb.org/t/p/w185//vzAmmoAhM27IW6OvtMmAdHJgAw7.jpg,1995-08-11,Dangerous Minds (1995),9909.0
32,29500000.0,Mystery|Sci-Fi|Thriller,114746,http://image.tmdb.org/t/p/w185//kKoG0hXBmBbkDnJYhhHisdin73W.jpg,1995-12-29,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),63.0
34,30000000.0,Children|Drama,112431,http://image.tmdb.org/t/p/w185//i4IRGWRoxkrxEOANFID8zNfx6r2.jpg,1995-07-18,Babe (1995),9598.0
